f,Z,Phi,L,QL,C,QC
36.4,0.253,-12.7,-0.25,0,78000,0
36.6,0.253,-12.7,-0.24,0,78000,0
36.8,0.253,-12.6,-0.24,0,78000,0
37,0.253,-12.5,-0.24,0,78000,0
37.2,0.253,-12.5,-0.24,0,78000,0
37.4,0.253,-12.5,-0.23,0,78000,0
37.6,0.253,-12.4,-0.23,0,78000,0
37.8,0.253,-12.3,-0.23,0,78000,0
38,0.253,-12.3,-0.23,0,78000,0
38.2,0.253,-12.2,-0.22,0,78000,0
38.4,0.253,-12.2,-0.22,0,78000,0
38.6,0.253,-12.1,-0.22,0,78000,0
38.8,0.252,-12,-0.22,0,78000,0
39,0.253,-12,-0.22,0,78000,0
39.2,0.253,-11.9,-0.21,0,78000,0
39.4,0.252,-11.9,-0.21,0,78000,0
39.6,0.252,-11.8,-0.21,0,77000,0
39.8,0.253,-11.8,-0.21,0,78000,0
40,0.252,-11.7,-0.2,0,77000,0
40.2,0.253,-11.6,-0.2,0,78000,0
40.4,0.253,-11.6,-0.2,0,77000,0
40.6,0.252,-11.6,-0.2,0,77000,0
40.8,0.252,-11.5,-0.2,0,77000,0
41,0.252,-11.4,-0.19,0,77000,0
41.2,0.253,-11.4,-0.19,0,77000,0
41.4,0.252,-11.4,-0.19,0,78000,0
41.6,0.253,-11.3,-0.19,0,78000,0
41.8,0.252,-11.2,-0.19,0,77000,0
42,0.252,-11.2,-0.19,0,77000,0
42.2,0.252,-11.1,-0.18,0,77000,0
42.4,0.252,-11.1,-0.18,0,77000,0
42.6,0.252,-11.1,-0.18,0,77000,0
42.8,0.252,-11,-0.18,0,77000,0
43,0.252,-10.9,-0.18,0,78000,0
43.2,0.252,-10.9,-0.18,0,77000,0
43.4,0.252,-10.8,-0.17,0,77000,0
43.6,0.252,-10.8,-0.17,0,77000,0
43.8,0.252,-10.7,-0.17,0,77000,0
44,0.252,-10.7,-0.17,0,77000,0
44.2,0.252,-10.6,-0.17,0,77000,0
44.4,0.252,-10.6,-0.17,0,77000,0
44.6,0.252,-10.6,-0.17,0,77000,0
44.8,0.252,-10.5,-0.16,0,77000,0
45,0.252,-10.5,-0.16,0,77000,0
45.2,0.252,-10.5,-0.16,0,77000,0
45.4,0.252,-10.4,-0.16,0,77000,0
45.6,0.252,-10.4,-0.16,0,77000,0
45.8,0.252,-10.3,-0.16,0,77000,0
46,0.252,-10.3,-0.16,0,77000,0
46.2,0.252,-10.2,-0.15,0,77000,0
46.4,0.252,-10.2,-0.15,0,77000,0
46.6,0.252,-10.1,-0.15,0,77000,0
46.8,0.252,-10.1,-0.15,0,77000,0
47,0.251,-10.1,-0.15,0,77000,0
47.2,0.251,-10,-0.15,0,77000,0
47.4,0.251,-10,-0.15,0,77000,0
47.6,0.251,-9.9,-0.15,0,77000,0
47.8,0.251,-9.9,-0.14,0,77000,0
48,0.251,-9.9,-0.14,0,77000,0
48.2,0.251,-9.8,-0.14,0,77000,0
48.4,0.251,-9.8,-0.14,0,77000,0
48.6,0.251,-9.8,-0.14,0,77000,0
48.8,0.251,-9.7,-0.14,0,77000,0
49,0.251,-9.7,-0.14,0,77000,0
49.2,0.251,-9.6,-0.14,0,77000,0
49.4,0.25,-9.6,-0.13,0,77000,0
49.6,0.251,-9.6,-0.13,0,77000,0
49.8,0.251,-9.5,-0.13,0,77000,0
50,0.251,-9.5,-0.13,0,77000,0
